VEC_X;VEC_Y;TILE_M;TILE_N;TILE_K;ms
2;2;4;32;32;60.7185
2;2;8;8;32;40.7888
2;2;8;16;32;31.7063
2;2;8;32;32;35.3436
2;2;16;16;32;25.1223
2;2;16;32;32;25.8341
2;2;32;32;32;29.5027
3;2;2;16;32;112.903
3;2;2;32;32;99.7376
3;2;4;8;32;67.1824
3;2;4;16;32;50.3554
3;2;4;32;32;64.3324
3;2;8;8;32;41.0649
3;2;8;16;32;36.7892
3;2;8;32;32;34.7095
3;2;16;16;32;31.0398
3;2;16;32;32;30.47
3;2;32;32;32;34.6093
4;2;2;16;32;108.98
4;2;2;32;32;106.794
4;2;4;8;32;52.3223
4;2;4;16;32;37.2173
4;2;4;32;32;36.6278
4;2;8;8;32;27.9881
4;2;8;16;32;25.7634
4;2;8;32;32;27.7109
4;2;16;16;32;20.8585
4;2;16;32;32;19.2929
4;2;32;32;32;23.3676
3;3;2;16;32;82.8058
3;3;2;32;32;69.9491
3;3;4;8;32;48.4059
3;3;4;16;32;34.6063
3;3;4;32;32;42.6392
3;3;8;8;32;31.3999
3;3;8;16;32;27.3127
3;3;8;32;32;24.9146
3;3;16;16;32;23.4556
3;3;16;32;32;22.5351
3;3;32;32;32;25.7608
4;3;2;16;32;76.034
4;3;2;32;32;72.9081
4;3;4;8;32;38.5613
4;3;4;16;32;28.082
4;3;4;32;32;24.506
4;3;8;8;32;21.0857
4;3;8;16;32;20.6886
4;3;8;32;32;22.0058
4;3;16;16;32;15.4243
4;3;16;32;32;16.4866
4;3;32;32;32;20.2167
4;4;2;16;32;56.0343
4;4;2;32;32;56.1812
4;4;4;8;32;31.9992
4;4;4;16;32;23.764
4;4;4;32;32;20.9665
4;4;8;8;32;19.6013
4;4;8;16;32;18.2095
4;4;8;32;32;17.2192
4;4;16;16;32;14.5866
4;4;16;32;32;13.9399
4;4;32;32;32;15.5404
2;2;2;16;40;141.16
2;2;2;32;40;126.979
2;2;4;8;40;91.7719
2;2;4;16;40;53.0263
2;2;4;32;40;42.8894
2;2;8;8;40;38.8444
2;2;8;16;40;32.1228
2;2;8;32;40;34.8272
2;2;16;16;40;28.1758
2;2;16;32;40;26.901
2;2;32;32;40;33.7304
3;2;2;16;40;144.986
3;2;2;32;40;118.682
3;2;4;8;40;67.3734
3;2;4;16;40;51.1739
3;2;4;32;40;60.6682
3;2;8;8;40;40.3503
3;2;8;16;40;38.7259
3;2;8;32;40;36.4138
3;2;16;16;40;31.7222
3;2;16;32;40;31.3708
3;2;32;32;40;39.7732
4;2;2;16;40;140.402
4;2;2;32;40;138.76
4;2;4;8;40;63.4845
4;2;4;16;40;46.4218
4;2;4;32;40;45.6461
4;2;8;8;40;29.5966
4;2;8;16;40;27.4648
4;2;8;32;40;26.8212
4;2;16;16;40;22.0221
4;2;16;32;40;22.1193
4;2;32;32;40;25.9549
3;3;2;16;40;98.7683
3;3;2;32;40;94.2339
3;3;4;8;40;51.0211
3;3;4;16;40;37.6553
3;3;4;32;40;38.9555
3;3;8;8;40;31.308
3;3;8;16;40;27.3599
3;3;8;32;40;25.7284
3;3;16;16;40;22.9925
3;3;16;32;40;24.3218
3;3;32;32;40;27.0552
4;3;2;16;40;94.75
4;3;2;32;40;94.0796
4;3;4;8;40;48.7206
4;3;4;16;40;36.681
4;3;4;32;40;31.678
4;3;8;8;40;24.0347
4;3;8;16;40;19.8811
4;3;8;32;40;20.759
4;3;16;16;40;17.5297
4;3;16;32;40;15.6432
4;3;32;32;40;19.906
4;4;2;16;40;73.9844
4;4;2;32;40;71.7239
4;4;4;8;40;40.0623
4;4;4;16;40;28.0788
4;4;4;32;40;25.8916
4;4;8;8;40;21.6305
4;4;8;16;40;17.318
4;4;8;32;40;16.2537
4;4;16;16;40;12.9713
4;4;16;32;40;14.9052
4;4;32;32;40;16.3614
2;2;2;16;52;186.506
2;2;2;32;52;159.337
2;2;4;8;52;92.2558
2;2;4;16;52;66.1757
2;2;4;32;52;51.0859
2;2;8;8;52;44.3129
2;2;8;16;52;33.48
2;2;8;32;52;37.2551
2;2;16;16;52;28.803
2;2;16;32;52;25.6668
2;2;32;32;52;30.5116
3;2;2;16;52;178.678
3;2;2;32;52;168.743
3;2;4;8;52;80.9941
3;2;4;16;52;60.8641
3;2;4;32;52;54.5782
3;2;8;8;52;43.8386
3;2;8;16;52;40.0652
3;2;8;32;52;38.2267
3;2;16;16;52;31.9904
3;2;16;32;52;30.9665
3;2;32;32;52;34.9392
4;2;2;16;52;181.478
4;2;2;32;52;176.292
4;2;4;8;52;79.4026
4;2;4;16;52;59.4014
4;2;4;32;52;55.8036
4;2;8;8;52;37.6187
4;2;8;16;52;29.6222
4;2;8;32;52;29.5624
4;2;16;16;52;20.6248
4;2;16;32;52;23.8306
4;2;32;32;52;23.2747
3;3;2;16;52;122.949
3;3;2;32;52;115.234
3;3;4;8;52;68.3559
3;3;4;16;52;48.0083
3;3;4;32;52;38.5604
3;3;8;8;52;34.1674
3;3;8;16;52;28.8934
3;3;8;32;52;28.9826
3;3;16;16;52;25.7312
3;3;16;32;52;22.5116
3;3;32;32;52;25.9987
4;3;2;16;52;129.169
4;3;2;32;52;121.3
4;3;4;8;52;58.2014
4;3;4;16;52;43.362
4;3;4;32;52;39.3827
4;3;8;8;52;31.7547
4;3;8;16;52;20.7044
4;3;8;32;52;22.6681
4;3;16;16;52;17.7132
4;3;16;32;52;17.626
